hyperparameter,value,metric,mean,n,std
lambda-kd,0.0,avg_forgetting,0.2580538760843727,1,0.0
lambda-kd,0.5,avg_forgetting,0.2667478989741218,1,0.0
lambda-kd,1.0,avg_forgetting,0.2571156865356481,1,0.0
lambda-kd,2.0,avg_forgetting,0.24854922321562758,1,0.0
lambda-kd,4.0,avg_forgetting,0.27293044970695685,1,0.0
lambda-kd,0.0,avg_inc_acc,0.1469668824467586,1,0.0
lambda-kd,0.5,avg_inc_acc,0.14856553147574822,1,0.0
lambda-kd,1.0,avg_inc_acc,0.14754479782343558,1,0.0
lambda-kd,2.0,avg_inc_acc,0.14953372736654472,1,0.0
lambda-kd,4.0,avg_inc_acc,0.14910216718266253,1,0.0
lambda-kd,0.0,bwt,-0.009212899231846991,1,0.0
lambda-kd,0.5,bwt,-0.006921139795037267,1,0.0
lambda-kd,1.0,bwt,-0.006832585565739629,1,0.0
lambda-kd,2.0,bwt,-0.004182428612751603,1,0.0
lambda-kd,4.0,bwt,-0.01653800545330426,1,0.0
lambda-kd,0.0,round,90.0,1,0.0
lambda-kd,0.5,round,90.0,1,0.0
lambda-kd,1.0,round,90.0,1,0.0
lambda-kd,2.0,round,90.0,1,0.0
lambda-kd,4.0,round,90.0,1,0.0
lambda-kd,0.0,server_eval_acc,0.13436532507739937,1,0.0
lambda-kd,0.5,server_eval_acc,0.13746130030959752,1,0.0
lambda-kd,1.0,server_eval_acc,0.14055727554179567,1,0.0
lambda-kd,2.0,server_eval_acc,0.1393188854489164,1,0.0
lambda-kd,4.0,server_eval_acc,0.12693498452012383,1,0.0
lambda-kd,0.0,server_eval_loss,13.642552855878423,1,0.0
lambda-kd,0.5,server_eval_loss,13.734170102334982,1,0.0
lambda-kd,1.0,server_eval_loss,14.239857686045738,1,0.0
lambda-kd,2.0,server_eval_loss,13.479428842267016,1,0.0
lambda-kd,4.0,server_eval_loss,14.140733587778758,1,0.0
lambda-kd,0.0,worst_class_bwt,-0.8,1,0.0
lambda-kd,0.5,worst_class_bwt,-0.8,1,0.0
lambda-kd,1.0,worst_class_bwt,-0.8,1,0.0
lambda-kd,2.0,worst_class_bwt,-0.8,1,0.0
lambda-kd,4.0,worst_class_bwt,-0.8,1,0.0
lambda-kd,0.0,worst_class_bwt_id,1.0,1,0.0
lambda-kd,0.5,worst_class_bwt_id,1.0,1,0.0
lambda-kd,1.0,worst_class_bwt_id,1.0,1,0.0
lambda-kd,2.0,worst_class_bwt_id,1.0,1,0.0
lambda-kd,4.0,worst_class_bwt_id,1.0,1,0.0
lambda-kd,0.0,worst_class_forgetting,0.8,1,0.0
lambda-kd,0.5,worst_class_forgetting,0.8,1,0.0
lambda-kd,1.0,worst_class_forgetting,0.8,1,0.0
lambda-kd,2.0,worst_class_forgetting,0.8,1,0.0
lambda-kd,4.0,worst_class_forgetting,0.8,1,0.0
lambda-kd,0.0,worst_class_forgetting_id,1.0,1,0.0
lambda-kd,0.5,worst_class_forgetting_id,1.0,1,0.0
lambda-kd,1.0,worst_class_forgetting_id,1.0,1,0.0
lambda-kd,2.0,worst_class_forgetting_id,1.0,1,0.0
lambda-kd,4.0,worst_class_forgetting_id,1.0,1,0.0
