hyperparameter,metric,n,p_value,spearman_rho
theta-alpha,avg_forgetting,24,0.7122965556149867,-0.07939496765689019
theta-alpha,avg_inc_acc,24,0.3973105781431557,0.1810066541317304
theta-alpha,bwt,24,0.9148094268214977,-0.02306445987797927
theta-alpha,server_eval_acc,24,0.476382542234583,-0.15265746980230915
theta-alpha,server_eval_loss,24,0.43234296387894205,0.16810442872604126
theta-exp,avg_forgetting,24,0.4936166589257139,-0.14681415806944498
theta-exp,avg_inc_acc,24,0.7589309147906311,-0.06610292025889172
theta-exp,bwt,24,0.298632852407569,0.22133010536753187
theta-exp,server_eval_acc,24,0.8787513201051533,0.032886907613889016
theta-exp,server_eval_loss,24,0.4201164211223092,0.17253990177949877
