hyperparameter,value,metric,mean,n,std
theta-alpha,0.03,avg_forgetting,0.25363635351483743,5,0.008538897870535335
theta-alpha,0.05,avg_forgetting,0.2511456395114008,5,0.003069315859180669
theta-alpha,0.07,avg_forgetting,0.24780208387540742,5,0.003527249499438902
theta-alpha,0.09,avg_forgetting,0.25549953983026863,4,0.0025796367062660866
theta-alpha,0.12,avg_forgetting,0.249574534013388,5,0.003991587559450941
theta-alpha,0.03,avg_inc_acc,0.1473113800544141,5,0.0003778681035413534
theta-alpha,0.05,avg_inc_acc,0.14798611502017073,5,0.0016310011457889885
theta-alpha,0.07,avg_inc_acc,0.147660380898771,5,0.0006501699339228456
theta-alpha,0.09,avg_inc_acc,0.14810207336523126,4,0.0012685823627176544
theta-alpha,0.12,avg_inc_acc,0.14768364762172811,5,0.0013392135171221462
theta-alpha,0.03,bwt,-0.007165573440477071,5,0.0038209354301163984
theta-alpha,0.05,bwt,-0.00697304430867623,5,0.00682068491239439
theta-alpha,0.07,bwt,-0.008361261013852116,5,0.0029861612707888893
theta-alpha,0.09,bwt,-0.008838584590931802,4,0.0033025222704630344
theta-alpha,0.12,bwt,-0.007325670364422186,5,0.0025076894833629794
theta-alpha,0.03,round,90.0,5,0.0
theta-alpha,0.05,round,90.0,5,0.0
theta-alpha,0.07,round,90.0,5,0.0
theta-alpha,0.09,round,90.0,4,0.0
theta-alpha,0.12,round,90.0,5,0.0
theta-alpha,0.03,server_eval_acc,0.1372136222910217,5,0.004931840929223497
theta-alpha,0.05,server_eval_acc,0.1391950464396285,5,0.006319430747825673
theta-alpha,0.07,server_eval_acc,0.13944272445820433,5,0.0035548483205962446
theta-alpha,0.09,server_eval_acc,0.134984520123839,4,0.003988885054713657
theta-alpha,0.12,server_eval_acc,0.1359752321981424,5,0.002130606877286098
theta-alpha,0.03,server_eval_loss,13.913961774985486,5,0.722097319771206
theta-alpha,0.05,server_eval_loss,13.761883551535593,5,0.45251004196479755
theta-alpha,0.07,server_eval_loss,13.714588555020075,5,0.404033542075625
theta-alpha,0.09,server_eval_loss,13.646188193873355,4,0.2804581240207405
theta-alpha,0.12,server_eval_loss,14.15931832989672,5,0.4924644728033768
theta-alpha,0.03,worst_class_bwt,-0.8,5,0.0
theta-alpha,0.05,worst_class_bwt,-0.8,5,0.0
theta-alpha,0.07,worst_class_bwt,-0.8,5,0.0
theta-alpha,0.09,worst_class_bwt,-0.8,4,0.0
theta-alpha,0.12,worst_class_bwt,-0.8,5,0.0
theta-alpha,0.03,worst_class_bwt_id,1.0,5,0.0
theta-alpha,0.05,worst_class_bwt_id,1.0,5,0.0
theta-alpha,0.07,worst_class_bwt_id,1.0,5,0.0
theta-alpha,0.09,worst_class_bwt_id,1.0,4,0.0
theta-alpha,0.12,worst_class_bwt_id,1.0,5,0.0
theta-alpha,0.03,worst_class_forgetting,0.8,5,0.0
theta-alpha,0.05,worst_class_forgetting,0.8,5,0.0
theta-alpha,0.07,worst_class_forgetting,0.8,5,0.0
theta-alpha,0.09,worst_class_forgetting,0.8,4,0.0
theta-alpha,0.12,worst_class_forgetting,0.8,5,0.0
theta-alpha,0.03,worst_class_forgetting_id,1.0,5,0.0
theta-alpha,0.05,worst_class_forgetting_id,1.0,5,0.0
theta-alpha,0.07,worst_class_forgetting_id,1.0,5,0.0
theta-alpha,0.09,worst_class_forgetting_id,1.0,4,0.0
theta-alpha,0.12,worst_class_forgetting_id,1.0,5,0.0
theta-exp,0.05,avg_forgetting,0.251087742903241,4,0.004457426726995832
theta-exp,0.1,avg_forgetting,0.2548619584722405,5,0.0032052757499117243
theta-exp,0.15,avg_forgetting,0.2494964550286909,5,0.006698134961201047
theta-exp,0.25,avg_forgetting,0.24942915863719778,5,0.00247638357595039
theta-exp,0.35,avg_forgetting,0.2519004763185265,5,0.0073370364105514105
theta-exp,0.05,avg_inc_acc,0.148919223191669,4,0.0009736364701275556
theta-exp,0.1,avg_inc_acc,0.1469533727366545,5,0.0010446570930759545
theta-exp,0.15,avg_inc_acc,0.1474922600619195,5,0.0005058101357500083
theta-exp,0.25,avg_inc_acc,0.14784501360352753,5,0.000870321611258727
theta-exp,0.35,avg_inc_acc,0.14769715733183225,5,0.001413089797634596
theta-exp,0.05,bwt,-0.00777352938870437,4,0.0025056450311892837
