trial,round,phase,acc_after,acc_before,alpha_mean,avg_forgetting,bwt,contribution_ratio,eval_acc,eval_loss,expanded_depth,expanded_width,expansion_g,incorp_accepted,incorp_active_adapters,incorp_candidacies_proposed,incorp_candidacy_pending,incorp_confirmed,incorp_last_vote_favorable_fraction,incorp_monitoring,incorp_rejected,incorp_reverted,num_classes_seen,partition_id,server_eval_acc,server_eval_loss,train_loss,vote,worst_class_bwt,worst_class_bwt_id,worst_class_forgetting,worst_class_forgetting_id
trial_0000,1,train,,,0.250413255223745,,,0.011868536059709289,,,0.0,0.0,0.002826578910698489,0,0,0,0,0,,0,0,0,,,,,2.198364117779309,,,,,
trial_0000,1,eval,,,,,,,0.3529411764705882,2.1883490786832924,,,,,,,,,,,,,,,,,,,,,,
trial_0000,1,global,,,,,,,,,,,,0,0,0,0,0,,0,0,0,9,,0.12421052631578948,2.196899121936999,,,,,,
trial_0000,2,train,,,0.25035763692252244,,,0.014058626056471957,,,0.0,0.0,0.021402858438477203,0,0,0,0,0,,0,0,0,,,,,2.1681638213652596,,,,,
trial_0000,2,eval,,,,,,,0.11764705882352941,2.177979623570162,,,,,,,,,,,,,,,,,,,,,,
trial_0000,2,global,,,,0.015637860082304538,-0.004744613894940704,,,,,,,0,0,0,0,0,,0,0,0,9,,0.12,2.1961993548744605,,,-0.07407407407407407,3,0.07407407407407407,3
trial_0000,3,train,,,0.25035121433342555,,,0.019244865148882323,,,0.0,0.0,0.02170854838022703,0,0,0,0,0,,0,0,0,,,,,2.090297364735905,,,,,
trial_0000,3,eval,,,,,,,0.058823529411764705,2.14324353722965,,,,,,,,,,,,,,,,,,,,,,
trial_0000,3,global,,,,0.032195594287097555,-0.021302348099733723,,,,,,,0,0,0,0,0,,0,0,0,9,,0.1031578947368421,2.2272808742523194,,,-0.11764705882352944,0,0.21568627450980393,0
trial_0000,4,train,,,0.2504076633272292,,,0.02692312586911117,,,0.0,0.0,0.028165187858799588,0,0,0,0,0,,0,0,0,,,,,1.9490073886098742,,,,,
trial_0000,4,eval,,,,,,,0.1764705882352941,2.1162802121218514,,,,,,,,,,,,,,,,,,,,,,
trial_0000,4,global,,,,0.05495037521181313,-0.004106364006298835,,,,,,,0,0,0,0,0,,0,0,0,9,,0.12210526315789473,2.2192578506469727,,,-0.22222222222222232,1,0.23529411764705882,0
trial_0000,5,train,,,0.2504490055615389,,,0.032617657433582255,,,0.0,0.0,0.025058244238312866,0,0,0,0,0,,0,0,0,,,,,1.7256941547122184,,,,,
trial_0000,5,eval,,,,,,,0.1764705882352941,2.194585407481474,,,,,,,,,,,,,,,,,,,,,,
trial_0000,5,global,,,,0.05551571450132133,-0.004671703295807033,,,,,,,0,0,0,0,0,,0,0,0,9,,0.12,2.3672560395692526,,,-0.13725490196078433,0,0.23529411764705882,0
trial_0000,6,train,,,0.25044958991340444,,,0.037856846104694315,,,0.0,0.0,0.03041435829069042,0,0,0,0,0,,0,0,0,,,,,1.6220751910270015,,,,,
trial_0000,6,eval,,,,,,,0.2941176470588235,2.160227060317993,,,,,,,,,,,,,,,,,,,,,,
trial_0000,6,global,,,,0.04313725490196079,0.07424325395140546,,,,,,,0,0,0,0,0,,0,0,0,9,,0.2,2.2990808100449414,,,-0.1568627450980392,0,0.2549019607843137,0
trial_0000,7,train,,,0.25045085217379315,,,0.04108360541772239,,,0.0,0.0,0.028000613683952562,0,0,0,0,0,,0,0,0,,,,,1.4613825491712062,,,,,
trial_0000,7,eval,,,,,,,0.411764705882353,2.3276735333835377,,,,,,,,,,,,,,,,,,,,,,
trial_0000,7,global,,,,0.08416901687991951,0.04037995075480874,,,,,,,0,0,0,0,0,,0,0,0,9,,0.16842105263157894,2.547918035105655,,,-0.13333333333333341,1,0.196078431372549,0
trial_0000,8,train,,,0.25044952766804757,,,0.04290969103951997,,,0.0,0.0,0.03688312935395332,0,0,0,0,0,,0,0,0,,,,,1.334143138384517,,,,,
trial_0000,8,eval,,,,,,,0.4705882352941177,2.2344982624053955,,,,,,,,,,,,,,,,,,,,,,
trial_0000,8,global,,,,0.06229141861456184,0.06225754902016642,,,,,,,0,0,0,0,0,,0,0,0,9,,0.18947368421052632,2.5611765444906136,,,-0.1777777777777778,1,0.1777777777777778,1
trial_0000,9,train,,,0.2504724154743967,,,0.04505369859405711,,,0.0,0.0,0.03692785609466366,0,0,1,1,0,,0,0,0,,,,,1.1073243622915654,,,,,
trial_0000,9,eval,0.3529411764705882,0.3529411764705882,,,,,,,,,,,,,,,,,,,,2.8823529411764706,,,,0.0,,,,
trial_0000,9,global,,,,0.0680981117858945,0.058629505086306516,,,,,,,0,0,1,0,0,0.0,0,1,0,9,,0.1831578947368421,2.8010053840436435,,,-0.1777777777777778,1,0.1777777777777778,1
trial_0000,10,train,,,0.25047629769844343,,,0.047581770563427404,,,0.0,0.0,0.03833679417737677,0,0,1,0,0,0.0,0,1,0,,,,,0.9931497606484194,,,,,
trial_0000,10,eval,,,,,,,0.411764705882353,2.2798780272988712,,,,,,,,,,,,,,,,,,,,,,
trial_0000,10,global,,,,0.05572929861335019,0.07780103934728622,,,,,,,0,0,1,0,0,0.0,0,1,0,9,,0.20421052631578948,2.8297608731922352,,,-0.24444444444444446,1,0.24444444444444446,1
trial_0000,11,train,,,0.2504019610757051,,,0.024890322324841525,,,0.0,0.0,0.04927565150915895,0,0,1,0,0,0.0,0,1,0,,,,,16.308390795907307,,,,,
trial_0000,11,eval,,,,,,,0.10526315789473684,4.742648112146478,,,,,,,,,,,,,,,,,,,,,,
trial_0000,11,global,,,,0.25516318863176907,-0.12163285067113266,,,,,,,0,0,1,0,0,0.0,0,1,0,18,,0.06985645933014355,6.452195308082982,,,-0.6888888888888889,1,0.6888888888888889,1
trial_0000,12,train,,,0.25030932454175725,,,0.03517849899308626,,,0.0,1.0,0.1999153156093387,0,0,1,0,0,0.0,0,1,0,,,,,3.20335323089777,,,,,
trial_0000,12,eval,,,,,,,0.05263157894736842,2.9580178511770145,,,,,,,,,,,,,,,,,,,,,,
trial_0000,12,global,,,,0.15208938993778617,-0.05754573803998109,,,,,,,0,0,1,0,0,0.0,0,1,0,18,,0.07272727272727272,4.975816014394805,,,-0.6444444444444445,1,0.6444444444444445,1
trial_0000,13,train,,,0.2502953022025352,,,0.03379322033981945,,,0.0,0.3488372093023256,0.0969465198904969,0,0,1,0,0,0.0,0,1,0,,,,,1.9380068876022516,,,,,
trial_0000,13,eval,,,,,,,0.10526315789473684,2.238891300402189,,,,,,,,,,,,,,,,,,,,,,
trial_0000,13,global,,,,0.16813631701905346,-0.037737744439392235,,,,,,,0,0,1,0,0,0.0,0,1,0,18,,0.09856459330143541,4.8364118169939685,,,-0.8,1,0.8,1
trial_0000,14,train,,,0.2502755961099336,,,0.033385960861693986,,,0.0,0.09302325581395349,0.06483847862759302,0,0,2,1,0,0.0,0,1,0,,,,,1.7148560598839162,,,,,
trial_0000,14,eval,0.21052631578947367,0.21052631578947367,,,,,,,,,,,,,,,,,,,,1.6842105263157894,,,,0.0,,,,
trial_0000,14,global,,,,0.17737838171771395,-0.038705885762407896,,,,,,,0,0,2,0,0,0.0,0,2,0,18,,0.09760765550239234,5.16573300452894,,,-0.8,1,0.8,1
trial_0000,15,train,,,0.25027677312839863,,,0.034733218855636065,,,0.09302325581395349,0.0,0.06202723649871905,0,0,2,0,0,0.0,0,2,0,,,,,1.5800888087860372,,,,,
trial_0000,15,eval,,,,,,,0.2631578947368421,1.9558553632936981,,,,,,,,,,,,,,,,,,,,,,
trial_0000,15,global,,,,0.17976004145231486,-0.028988200455566746,,,,,,,0,0,2,0,0,0.0,0,2,0,18,,0.10622009569377991,4.923790885386855,,,-0.8,1,0.8,1
