hyperparameter,metric,n,p_value,spearman_rho
candidacy-quorum,avg_forgetting,20,0.0054329594141418365,-0.5971863854337006
candidacy-quorum,avg_inc_acc,20,0.2760856109513614,0.25593702232872884
candidacy-quorum,bwt,20,0.171854379592393,0.31798236107508737
candidacy-quorum,server_eval_acc,20,0.1443078806545044,0.3385188381538188
candidacy-quorum,server_eval_loss,20,0.7699682600890028,-0.06980100608965331
candidacy-quorum,worst_class_forgetting,20,0.18677311792845502,-0.30779350562554625
candidacy-quorum,worst_class_forgetting_id,20,0.18677311792845502,-0.30779350562554625
vote-adapt-steps,avg_forgetting,20,0.5020042780010268,0.1594162282660911
vote-adapt-steps,avg_inc_acc,20,0.016886793087254312,-0.5272998319570706
vote-adapt-steps,bwt,20,0.6432162970715911,-0.11036508110729386
vote-adapt-steps,server_eval_acc,20,0.897563187173103,-0.030761222972413117
vote-adapt-steps,server_eval_loss,20,0.19807045188812492,-0.30043827634763326
vote-adapt-steps,worst_class_forgetting,20,0.49441028491912437,0.16222142113076254
vote-adapt-steps,worst_class_forgetting_id,20,0.49441028491912437,0.16222142113076254
