hyperparameter,metric,n,p_value,spearman_rho
candidacy-quorum,avg_forgetting,30,0.0015940352472324072,-0.5512097995791968
candidacy-quorum,avg_inc_acc,30,0.4384206780660414,0.1469432882482715
candidacy-quorum,bwt,30,0.7054506026725604,-0.07197691583992015
candidacy-quorum,server_eval_acc,30,0.2916052665516343,0.19906719307534762
candidacy-quorum,server_eval_loss,30,0.8177346834839214,-0.043922015736181305
incorporation-degrade-tolerance,avg_forgetting,30,0.3916411264876837,0.16225557348408298
incorporation-degrade-tolerance,avg_inc_acc,30,0.4229593225157302,0.15189883475105642
incorporation-degrade-tolerance,bwt,30,0.14165830066215615,0.2747988010496384
incorporation-degrade-tolerance,server_eval_acc,30,0.5194045323550481,0.1223826920689975
incorporation-degrade-tolerance,server_eval_loss,30,0.8251063579555039,-0.04211740418097473
vote-margin,avg_forgetting,30,0.8346989306012131,0.039774422642905115
vote-margin,avg_inc_acc,30,0.25663416884118684,-0.213787521705615
vote-margin,bwt,30,0.979197781660544,0.004971802830363139
vote-margin,server_eval_acc,30,0.9061870374897415,0.02246828592839289
vote-margin,server_eval_loss,30,0.9376467806060579,0.014915408491089419
