hyperparameter,value,metric,mean,n,std
candidacy-quorum,0.3,avg_forgetting,0.2617917569619614,7,0.008462295844545865
candidacy-quorum,0.4,avg_forgetting,0.2539921232854935,7,0.007604863645213497
candidacy-quorum,0.5,avg_forgetting,0.25514493879397343,9,0.009978370961820854
candidacy-quorum,0.6,avg_forgetting,0.24668920929579005,7,0.0037386769886216067
candidacy-quorum,0.3,avg_inc_acc,0.14743543350354496,7,0.0012039023576613402
candidacy-quorum,0.4,avg_inc_acc,0.14849476632758368,7,0.0010961757024901652
candidacy-quorum,0.5,avg_inc_acc,0.14812563196464124,9,0.001123580059273114
candidacy-quorum,0.6,avg_inc_acc,0.14802943186844114,7,0.0007508380748883884
candidacy-quorum,0.3,bwt,-0.005951544772092457,7,0.004297060163621679
candidacy-quorum,0.4,bwt,-0.0034664703678706993,7,0.002856947837670974
candidacy-quorum,0.5,bwt,-0.007961982213037268,9,0.005431147313957979
candidacy-quorum,0.6,bwt,-0.005013473180678271,7,0.0025010615130990565
candidacy-quorum,0.3,round,90.0,7,0.0
candidacy-quorum,0.4,round,90.0,7,0.0
candidacy-quorum,0.5,round,90.0,9,0.0
candidacy-quorum,0.6,round,90.0,7,0.0
candidacy-quorum,0.3,server_eval_acc,0.13746130030959752,7,0.00299709409041971
candidacy-quorum,0.4,server_eval_acc,0.1386996904024768,7,0.0025422570301990104
candidacy-quorum,0.5,server_eval_acc,0.13642930856553148,9,0.005047273172605773
candidacy-quorum,0.6,server_eval_acc,0.1397611676249447,7,0.0014317924861776841
candidacy-quorum,0.3,server_eval_loss,13.92282964477809,7,0.41271861711732016
candidacy-quorum,0.4,server_eval_loss,13.693367802764609,7,0.3189183864496688
candidacy-quorum,0.5,server_eval_loss,13.60278724011663,9,0.3063087229901108
candidacy-quorum,0.6,server_eval_loss,13.94650357839862,7,0.5154929851209867
candidacy-quorum,0.3,worst_class_bwt,-0.8,7,0.0
candidacy-quorum,0.4,worst_class_bwt,-0.8,7,0.0
candidacy-quorum,0.5,worst_class_bwt,-0.8,9,0.0
candidacy-quorum,0.6,worst_class_bwt,-0.8,7,0.0
candidacy-quorum,0.3,worst_class_bwt_id,1.0,7,0.0
candidacy-quorum,0.4,worst_class_bwt_id,1.0,7,0.0
