trial,round,phase,alpha_mean,avg_forgetting,bwt,contribution_ratio,eval_acc,eval_loss,expanded_depth,expanded_width,expansion_g,incorp_accepted,incorp_active_adapters,incorp_candidacies_proposed,incorp_candidacy_pending,incorp_confirmed,incorp_monitoring,incorp_rejected,incorp_reverted,num_classes_seen,server_eval_acc,server_eval_loss,train_loss,worst_class_bwt,worst_class_bwt_id,worst_class_forgetting,worst_class_forgetting_id
trial_0000,1,train,0.2504132412656953,,,0.011868533041752592,,,0.0,0.0,0.002826578910698489,0,0,0,0,0,0,0,0,,,,2.198364117779309,,,,
trial_0000,1,eval,,,,,0.3529411764705882,2.188349457348094,,,,,,,,,,,,,,,,,,,
trial_0000,1,global,,,,,,,,,,0,0,0,0,0,0,0,0,9,0.12421052631578948,2.196899160585905,,,,,
trial_0000,2,train,0.25035769049125384,,,0.014060359778283515,,,0.0,0.0,0.02140299617931766,0,0,0,0,0,0,0,0,,,,2.1681635757035846,,,,
trial_0000,2,eval,,,,,0.11764705882352941,2.1779870285707363,,,,,,,,,,,,,,,,,,,
trial_0000,2,global,,0.015637860082304538,-0.004744613894940704,,,,,,,0,0,0,0,0,0,0,0,9,0.12,2.1961984860269648,,-0.07407407407407407,3,0.07407407407407407,3
trial_0000,3,train,0.25035118339936946,,,0.01924518901336042,,,0.0,0.0,0.021708413324896484,0,0,0,0,0,0,0,0,,,,2.0903161124338077,,,,
trial_0000,3,eval,,,,,0.058823529411764705,2.143266102846931,,,,,,,,,,,,,,,,,,,
trial_0000,3,global,,0.032195594287097555,-0.021302348099733723,,,,,,,0,0,0,0,0,0,0,0,9,0.1031578947368421,2.227262621929771,,-0.11764705882352944,0,0.21568627450980393,0
trial_0000,4,train,0.25040754675865173,,,0.026920598141754733,,,0.0,0.0,0.028162398309552972,0,0,0,0,0,0,0,0,,,,1.9491021153293078,,,,
trial_0000,4,eval,,,,,0.1764705882352941,2.1163223280626187,,,,,,,,,,,,,,,,,,,
trial_0000,4,global,,0.05495037521181313,-0.004106364006298835,,,,,,,0,0,0,0,0,0,0,0,9,0.12210526315789473,2.219311395444368,,-0.22222222222222232,1,0.23529411764705882,0
trial_0000,5,train,0.25044795304914064,,,0.03261331553700604,,,0.0,0.0,0.025058213141569988,0,0,0,0,0,0,0,0,,,,1.7259736537933348,,,,
trial_0000,5,eval,,,,,0.1764705882352941,2.1944150574067063,,,,,,,,,,,,,,,,,,,
