hyperparameter,value,metric,mean,n,std
lambda-kd,0.0,avg_forgetting,0.28770959278994745,5,0.020644958245826694
lambda-kd,0.5,avg_forgetting,0.29545167933661315,6,0.009342571552970086
lambda-kd,1.0,avg_forgetting,0.28385145872480233,5,0.021121270634566994
lambda-kd,2.0,avg_forgetting,0.30498280400759753,11,0.02275591217688756
lambda-kd,4.0,avg_forgetting,0.31342779549486055,3,0.01345358317185971
lambda-kd,0.0,avg_inc_acc,0.140842480532883,5,0.006472497479091394
lambda-kd,0.5,avg_inc_acc,0.14423992244425682,6,0.004284762315287315
lambda-kd,1.0,avg_inc_acc,0.14145792288207149,5,0.005450638448849659
lambda-kd,2.0,avg_inc_acc,0.1412262791153869,11,0.005708892617566524
lambda-kd,4.0,avg_inc_acc,0.13899490258623384,3,0.0022984003561196576
lambda-kd,0.0,bwt,0.008037263173418085,5,0.015563913893062975
lambda-kd,0.5,bwt,0.012986176240655659,6,0.013578453642648558
lambda-kd,1.0,bwt,-0.002874225997329438,5,0.006723308488043378
lambda-kd,2.0,bwt,-0.0022689368966761,11,0.0160686210435243
lambda-kd,4.0,bwt,0.0005296661699219727,3,0.014129864567671806
lambda-kd,0.0,round,90.0,5,0.0
lambda-kd,0.5,round,90.0,6,0.0
lambda-kd,1.0,round,90.0,5,0.0
lambda-kd,2.0,round,90.0,11,0.0
lambda-kd,4.0,round,90.0,3,0.0
lambda-kd,0.0,server_eval_acc,0.14105263157894737,5,0.005813842523494989
lambda-kd,0.5,server_eval_acc,0.14148606811145512,6,0.007887145017248916
lambda-kd,1.0,server_eval_acc,0.13473684210526315,5,0.00900370067085748
lambda-kd,2.0,server_eval_acc,0.1290740219532789,11,0.009844877780183149
lambda-kd,4.0,server_eval_acc,0.1345717234262126,3,0.011631787660355308
lambda-kd,0.0,server_eval_loss,13.991194415018654,5,1.7213277382532906
lambda-kd,0.5,server_eval_loss,14.038571469333519,6,0.8165001163851273
lambda-kd,1.0,server_eval_loss,13.565665823638255,5,1.1898416183002682
lambda-kd,2.0,server_eval_loss,13.51081727637461,11,1.6883368782059212
lambda-kd,4.0,server_eval_loss,13.710466159312716,3,1.860830560376634
lambda-kd,0.0,worst_class_bwt,-0.9155555555555555,5,0.09469900334516672
lambda-kd,0.5,worst_class_bwt,-0.9592592592592593,6,0.07191291792202813
lambda-kd,1.0,worst_class_bwt,-0.8222222222222222,5,0.15523777063620425
lambda-kd,2.0,worst_class_bwt,-0.8239459815546772,11,0.17263524757879542
lambda-kd,4.0,worst_class_bwt,-0.7851851851851852,3,0.1817458392057081
lambda-kd,0.0,worst_class_bwt_id,1.0,5,0.0
lambda-kd,0.5,worst_class_bwt_id,1.0,6,0.0
lambda-kd,1.0,worst_class_bwt_id,1.0,5,0.0
lambda-kd,2.0,worst_class_bwt_id,4.818181818181818,11,8.144358692518196
lambda-kd,4.0,worst_class_bwt_id,1.0,3,0.0
lambda-kd,0.0,worst_class_forgetting,0.9155555555555555,5,0.09469900334516672
lambda-kd,0.5,worst_class_forgetting,0.9592592592592593,6,0.07191291792202813
lambda-kd,1.0,worst_class_forgetting,0.8711111111111112,5,0.08709296863229074
lambda-kd,2.0,worst_class_forgetting,0.8968872397443826,11,0.1061658310649332
lambda-kd,4.0,worst_class_forgetting,0.8666666666666667,3,0.09428090415820632
lambda-kd,0.0,worst_class_forgetting_id,1.0,5,0.0
lambda-kd,0.5,worst_class_forgetting_id,1.0,6,0.0
lambda-kd,1.0,worst_class_forgetting_id,1.0,5,0.0
lambda-kd,2.0,worst_class_forgetting_id,1.5454545454545454,11,1.1570838237598051
lambda-kd,4.0,worst_class_forgetting_id,1.0,3,0.0
local-epochs,3,avg_forgetting,0.31021869497812565,6,0.015937932733849074
local-epochs,5,avg_forgetting,0.2801208613575357,8,0.02203062830896926
local-epochs,7,avg_forgetting,0.2898189884498778,7,0.005320914512659023
local-epochs,9,avg_forgetting,0.31051084269815526,9,0.01828428059341698
local-epochs,3,avg_inc_acc,0.13689964662100884,6,0.002892004286726996
local-epochs,5,avg_inc_acc,0.1402087437845952,8,0.005262669365033819
local-epochs,7,avg_inc_acc,0.14349510138983823,7,0.004089409199539467
local-epochs,9,avg_inc_acc,0.14443131000406542,9,0.00552832865220874
local-epochs,3,bwt,-0.009378095542466672,6,0.009659657836560148
local-epochs,5,bwt,-0.011894945477387217,8,0.006414699937364612
local-epochs,7,bwt,0.008796090696982487,7,0.005664982491576578
local-epochs,9,bwt,0.01891315979619182,9,0.009899216977269181
local-epochs,3,round,90.0,6,0.0
local-epochs,5,round,90.0,8,0.0
local-epochs,7,round,90.0,7,0.0
local-epochs,9,round,90.0,9,0.0
local-epochs,3,server_eval_acc,0.12022703818369453,6,0.005450049918064352
local-epochs,5,server_eval_acc,0.13289473684210526,8,0.005235197081450729
local-epochs,7,server_eval_acc,0.13967271118973906,7,0.0068700531937895114
local-epochs,9,server_eval_acc,0.14324045407636737,9,0.006713500915290236
local-epochs,3,server_eval_loss,13.320835923705678,6,1.9770848812201485
local-epochs,5,server_eval_loss,12.611768145014995,8,1.2765247077473802
local-epochs,7,server_eval_loss,14.067315078593628,7,0.6195660466522326
local-epochs,9,server_eval_loss,14.719528030537232,9,1.0230977112008774
local-epochs,3,worst_class_bwt,-0.6031602254428342,6,0.07954101807799055
local-epochs,5,worst_class_bwt,-0.8,8,0.0
local-epochs,7,worst_class_bwt,-0.9777777777777777,7,0.0
local-epochs,9,worst_class_bwt,-1.0,9,0.0
local-epochs,3,worst_class_bwt_id,8.0,6,9.966610925150702
local-epochs,5,worst_class_bwt_id,1.0,8,0.0
local-epochs,7,worst_class_bwt_id,1.0,7,0.0
local-epochs,9,worst_class_bwt_id,1.0,9,0.0
local-epochs,3,worst_class_forgetting,0.8183673469387754,6,0.0836734693877551
local-epochs,5,worst_class_forgetting,0.8,8,0.0
local-epochs,7,worst_class_forgetting,0.9777777777777777,7,0.0
local-epochs,9,worst_class_forgetting,1.0,9,0.0
local-epochs,3,worst_class_forgetting_id,2.0,6,1.4142135623730951
local-epochs,5,worst_class_forgetting_id,1.0,8,0.0
local-epochs,7,worst_class_forgetting_id,1.0,7,0.0
local-epochs,9,worst_class_forgetting_id,1.0,9,0.0
tau,120,avg_forgetting,0.28766042549700355,5,0.011165759690507721
tau,15,avg_forgetting,0.30545007573484434,6,0.016707104479110432
tau,250,avg_forgetting,0.280338188232218,6,0.025437607777075693
tau,30,avg_forgetting,0.2992257766890267,4,0.011917482204568815
tau,60,avg_forgetting,0.30840830512423145,9,0.019650627733175843
tau,120,avg_inc_acc,0.14091303124120463,5,0.004480168831127289
tau,15,avg_inc_acc,0.13823560684241798,6,0.0025157235114631753
tau,250,avg_inc_acc,0.1461544234918848,6,0.006231614054493254
tau,30,avg_inc_acc,0.14399943709541232,4,0.00580787422462805
tau,60,avg_inc_acc,0.1400569159083091,9,0.00426558495072429
tau,120,bwt,0.006154973958737341,5,0.01745859001764799
tau,15,bwt,-0.006917913282160303,6,0.014433472215324894
tau,250,bwt,-0.002152210411651088,6,0.01475973689507664
tau,30,bwt,0.012098702803438478,4,0.009669089436212188
tau,60,bwt,0.006179333014014859,9,0.013028422761274047
tau,120,round,90.0,5,0.0
tau,15,round,90.0,6,0.0
tau,250,round,90.0,6,0.0
tau,30,round,90.0,4,0.0
tau,60,round,90.0,9,0.0
tau,120,server_eval_acc,0.1393188854489164,5,0.00928379681188424
tau,15,server_eval_acc,0.1304437564499484,6,0.009775092042282451
tau,250,server_eval_acc,0.13095975232198143,6,0.00841247362433137
tau,30,server_eval_acc,0.14256965944272446,4,0.00852799289216057
tau,60,server_eval_acc,0.13512211902304783,9,0.01042169738788388
tau,120,server_eval_loss,14.04829366630814,5,0.935284791414316
tau,15,server_eval_loss,11.61978568204047,6,1.1276307694043761
tau,250,server_eval_loss,13.65255895876417,6,1.3099298755317126
tau,30,server_eval_loss,13.838668923628958,4,0.26849452059234086
tau,60,server_eval_loss,14.948434072940014,9,0.8136279884001271
tau,120,worst_class_bwt,-0.9511111111111111,5,0.07620634755325441
tau,15,worst_class_bwt,-0.8041666666666667,6,0.10841343192714739
tau,250,worst_class_bwt,-0.8915861513687601,6,0.10171485984926894
tau,30,worst_class_bwt,-0.8777777777777778,4,0.18625616238044676
tau,60,worst_class_bwt,-0.8246913580246914,9,0.19915994893902006
tau,120,worst_class_bwt_id,1.0,5,0.0
tau,15,worst_class_bwt_id,4.833333333333333,6,8.571593913749194
tau,250,worst_class_bwt_id,4.166666666666667,6,7.080881928749334
tau,30,worst_class_bwt_id,1.0,4,0.0
tau,60,worst_class_bwt_id,1.0,9,0.0
tau,120,worst_class_forgetting,0.9511111111111111,5,0.07620634755325441
tau,15,worst_class_forgetting,0.8258503401360544,6,0.0795889295358349
tau,250,worst_class_forgetting,0.9296296296296296,6,0.09199809146943864
tau,30,worst_class_forgetting,0.9276643990929705,4,0.10004112666672603
tau,60,worst_class_forgetting,0.9061728395061728,9,0.09530992131169766
tau,120,worst_class_forgetting_id,1.0,5,0.0
tau,15,worst_class_forgetting_id,1.5,6,1.118033988749895
tau,250,worst_class_forgetting_id,1.0,6,0.0
tau,30,worst_class_forgetting_id,1.75,4,1.299038105676658
tau,60,worst_class_forgetting_id,1.0,9,0.0
