round,class_id,n,acc,bwt,forgetting
1,0,51,0.0,,
1,1,45,0.0,,
1,2,51,0.0,,
1,3,54,0.0,,
1,4,49,0.0,,
1,5,53,0.0,,
1,6,52,0.0,,
1,7,58,0.0,,
1,8,62,0.0,,
2,0,51,0.0,0.0,0.0
2,1,45,0.0,0.0,0.0
2,2,51,0.7058823529411765,0.7058823529411765,0.0
2,3,54,0.0,0.0,0.0
2,4,49,0.0,0.0,0.0
2,5,53,0.0,0.0,0.0
2,6,52,0.0,0.0,0.0
2,7,58,0.0,0.0,0.0
2,8,62,0.0,0.0,0.0
3,0,51,0.0,0.0,0.0
3,1,45,0.0,0.0,0.0
3,2,51,0.37254901960784315,0.37254901960784315,0.33333333333333337
3,3,54,0.0,0.0,0.0
3,4,49,0.0,0.0,0.0
3,5,53,0.0,0.0,0.0
3,6,52,0.0,0.0,0.0
3,7,58,0.29310344827586204,0.29310344827586204,0.0
3,8,62,0.1774193548387097,0.1774193548387097,0.0
4,0,51,0.058823529411764705,0.058823529411764705,0.0
4,1,45,0.0,0.0,0.0
4,2,51,0.21568627450980393,0.21568627450980393,0.4901960784313726
4,3,54,0.09259259259259259,0.09259259259259259,0.0
4,4,49,0.14285714285714285,0.14285714285714285,0.0
4,5,53,0.018867924528301886,0.018867924528301886,0.0
4,6,52,0.0,0.0,0.0
4,7,58,0.46551724137931033,0.46551724137931033,0.0
4,8,62,0.22580645161290322,0.22580645161290322,0.0
5,0,51,0.058823529411764705,0.058823529411764705,0.0
5,1,45,0.08888888888888889,0.08888888888888889,0.0
5,2,51,0.19607843137254902,0.19607843137254902,0.5098039215686275
5,3,54,0.24074074074074073,0.24074074074074073,0.0
5,4,49,0.14285714285714285,0.14285714285714285,0.0
5,5,53,0.07547169811320754,0.07547169811320754,0.0
5,6,52,0.0,0.0,0.0
5,7,58,0.4827586206896552,0.4827586206896552,0.0
5,8,62,0.16129032258064516,0.16129032258064516,0.06451612903225806
6,0,51,0.058823529411764705,0.058823529411764705,0.0
6,1,45,0.06666666666666667,0.06666666666666667,0.022222222222222227
6,2,51,0.13725490196078433,0.13725490196078433,0.5686274509803921
6,3,54,0.35185185185185186,0.35185185185185186,0.0
6,4,49,0.20408163265306123,0.20408163265306123,0.0
6,5,53,0.1509433962264151,0.1509433962264151,0.0
6,6,52,0.07692307692307693,0.07692307692307693,0.0
6,7,58,0.29310344827586204,0.29310344827586204,0.18965517241379315
6,8,62,0.12903225806451613,0.12903225806451613,0.0967741935483871
7,0,51,0.09803921568627451,0.09803921568627451,0.0
7,1,45,0.08888888888888889,0.08888888888888889,0.0
7,2,51,0.11764705882352941,0.11764705882352941,0.5882352941176471
7,3,54,0.3888888888888889,0.3888888888888889,0.0
7,4,49,0.14285714285714285,0.14285714285714285,0.06122448979591838
7,5,53,0.2830188679245283,0.2830188679245283,0.0
7,6,52,0.019230769230769232,0.019230769230769232,0.057692307692307696
7,7,58,0.15517241379310345,0.15517241379310345,0.3275862068965517
7,8,62,0.12903225806451613,0.12903225806451613,0.0967741935483871
7,9,66,0.09090909090909091,,
7,10,71,0.08450704225352113,,
7,11,68,0.39705882352941174,,
7,12,54,0.07407407407407407,,
7,13,66,0.19696969696969696,,
