round,class_id,acc,bwt,forgetting
1,0,0.0,,
1,1,0.0,,
1,2,0.0,,
1,3,0.0,,
1,4,0.0,,
1,5,0.0,,
1,6,0.0,,
1,7,0.0,,
1,8,0.0,,
2,0,0.0,0.0,0.0
2,1,0.0,0.0,0.0
2,2,0.6862745098039216,0.6862745098039216,0.0
2,3,0.0,0.0,0.0
2,4,0.0,0.0,0.0
2,5,0.0,0.0,0.0
2,6,0.0,0.0,0.0
2,7,0.0,0.0,0.0
2,8,0.0,0.0,0.0
3,0,0.0,0.0,0.0
3,1,0.0,0.0,0.0
3,2,0.35294117647058826,0.35294117647058826,0.3333333333333333
3,3,0.0,0.0,0.0
3,4,0.02040816326530612,0.02040816326530612,0.0
3,5,0.0,0.0,0.0
3,6,0.0,0.0,0.0
3,7,0.3103448275862069,0.3103448275862069,0.0
3,8,0.1774193548387097,0.1774193548387097,0.0
4,0,0.058823529411764705,0.058823529411764705,0.0
4,1,0.0,0.0,0.0
4,2,0.21568627450980393,0.21568627450980393,0.47058823529411764
4,3,0.07407407407407407,0.07407407407407407,0.0
4,4,0.14285714285714285,0.14285714285714285,0.0
4,5,0.018867924528301886,0.018867924528301886,0.0
4,6,0.019230769230769232,0.019230769230769232,0.0
4,7,0.4827586206896552,0.4827586206896552,0.0
4,8,0.24193548387096775,0.24193548387096775,0.0
5,0,0.058823529411764705,0.058823529411764705,0.0
5,1,0.1111111111111111,0.1111111111111111,0.0
5,2,0.17647058823529413,0.17647058823529413,0.5098039215686274
5,3,0.2222222222222222,0.2222222222222222,0.0
5,4,0.16326530612244897,0.16326530612244897,0.0
5,5,0.11320754716981132,0.11320754716981132,0.0
5,6,0.019230769230769232,0.019230769230769232,0.0
5,7,0.3793103448275862,0.3793103448275862,0.103448275862069
5,8,0.12903225806451613,0.12903225806451613,0.11290322580645162
6,0,0.058823529411764705,0.058823529411764705,0.0
6,1,0.06666666666666667,0.06666666666666667,0.04444444444444444
6,2,0.11764705882352941,0.11764705882352941,0.5686274509803921
6,3,0.37037037037037035,0.37037037037037035,0.0
6,4,0.22448979591836735,0.22448979591836735,0.0
6,5,0.22641509433962265,0.22641509433962265,0.0
6,6,0.07692307692307693,0.07692307692307693,0.0
6,7,0.3275862068965517,0.3275862068965517,0.15517241379310348
6,8,0.12903225806451613,0.12903225806451613,0.11290322580645162
7,0,0.0784313725490196,0.0784313725490196,0.0
7,1,0.044444444444444446,0.044444444444444446,0.06666666666666665
7,2,0.0784313725490196,0.0784313725490196,0.607843137254902
7,3,0.37037037037037035,0.37037037037037035,0.0
7,4,0.22448979591836735,0.22448979591836735,0.0
7,5,0.33962264150943394,0.33962264150943394,0.0
7,6,0.019230769230769232,0.019230769230769232,0.057692307692307696
7,7,0.22413793103448276,0.22413793103448276,0.25862068965517243
7,8,0.12903225806451613,0.12903225806451613,0.11290322580645162
7,9,0.10606060606060606,,
7,10,0.056338028169014086,,
7,11,0.4117647058823529,,
7,12,0.1111111111111111,,
7,13,0.18181818181818182,,
7,14,0.13333333333333333,,
7,15,0.07407407407407407,,
7,16,0.0,,
7,17,0.21666666666666667,,
8,0,0.11764705882352941,0.11764705882352941,0.0
8,1,0.044444444444444446,0.044444444444444446,0.06666666666666665
8,2,0.2549019607843137,0.2549019607843137,0.43137254901960786
8,3,0.3333333333333333,0.3333333333333333,0.037037037037037035
8,4,0.20408163265306123,0.20408163265306123,0.020408163265306117
8,5,0.4716981132075472,0.4716981132075472,0.0
8,6,0.019230769230769232,0.019230769230769232,0.057692307692307696
